iter	Passed	Remaining
0	0	531
1	0	468
2	1	426
3	1	400
4	1	385
5	2	381
6	2	375
7	2	371
8	3	371
9	3	367
10	4	364
11	4	360
12	4	356
13	5	354
14	5	351
15	5	348
16	6	347
17	6	346
18	6	345
19	7	344
20	7	343
21	7	342
22	8	340
23	8	339
24	8	339
25	9	339
26	9	338
27	9	337
28	10	336
29	10	335
30	10	334
31	11	333
32	11	335
33	11	334
34	12	333
35	12	333
36	12	332
37	13	332
38	13	330
39	13	330
40	14	329
41	14	328
42	14	328
43	15	329
44	15	329
45	15	328
46	16	327
47	16	326
48	16	326
49	17	325
50	17	325
51	17	324
52	18	323
53	18	323
54	18	322
55	19	321
56	19	321
57	19	320
58	20	320
59	20	319
60	20	319
61	21	318
62	21	319
63	21	318
64	22	318
65	22	318
66	22	317
67	23	316
68	23	316
69	23	315
70	24	315
71	24	314
72	24	314
73	25	313
74	25	313
75	25	313
76	26	312
77	26	312
78	27	315
79	27	315
80	27	314
81	28	314
82	28	312
83	28	312
84	29	312
85	29	312
86	29	311
87	30	311
88	30	311
89	30	311
90	31	310
91	31	310
92	31	309
93	32	309
94	32	308
95	32	308
96	33	307
97	33	307
98	33	308
99	34	308
100	34	308
101	35	308
102	35	307
103	35	307
104	36	307
105	36	306
106	36	306
107	37	305
108	37	305
109	37	304
110	37	304
111	38	303
112	38	303
113	38	302
114	39	302
115	39	302
116	40	301
117	40	301
118	40	301
119	41	301
120	41	300
121	41	299
122	41	299
123	42	299
124	42	298
125	43	298
126	43	297
127	43	297
128	44	297
129	44	296
130	44	296
131	45	295
132	45	297
133	46	297
134	46	297
135	46	297
136	47	296
137	47	296
138	47	295
139	48	295
140	48	295
141	48	294
142	48	293
143	49	293
144	49	292
145	49	292
146	50	291
147	50	291
148	50	290
149	51	290
150	51	289
151	51	290
152	52	289
153	52	289
154	52	288
155	53	288
156	53	288
157	54	288
158	54	287
159	54	287
160	54	286
161	55	286
162	55	285
163	55	285
164	56	284
165	56	284
166	56	284
167	57	283
168	57	283
169	58	283
170	58	283
171	58	283
172	59	282
173	59	282
174	59	282
175	60	282
176	60	281
177	60	281
178	61	281
179	61	281
180	62	280
181	62	280
182	62	280
183	63	279
184	63	279
185	63	279
186	64	279
187	64	278
188	65	278
189	65	278
190	65	278
191	66	278
192	66	278
193	66	277
194	67	277
195	67	277
196	67	277
197	68	276
198	68	276
199	69	276
200	69	275
201	69	275
202	70	275
203	70	274
204	70	274
205	71	273
206	71	273
207	71	273
208	72	272
209	72	272
210	72	271
211	73	271
212	73	270
213	73	270
214	73	270
215	74	269
216	74	269
217	74	268
218	75	268
219	75	267
220	75	267
221	76	267
222	76	266
223	76	266
224	77	266
225	77	265
226	77	265
227	78	265
228	78	264
229	78	264
230	79	263
231	79	263
232	79	262
233	80	262
234	80	262
235	80	261
236	81	261
237	81	261
238	81	260
239	82	260
240	82	259
241	82	259
242	83	259
243	83	258
244	83	258
245	84	257
246	84	257
247	84	257
248	85	256
249	85	256
250	85	255
251	86	255
252	86	255
253	86	254
254	87	254
255	87	253
256	87	253
257	87	253
258	88	252
259	88	252
260	88	251
261	89	251
262	89	251
263	90	250
264	90	250
265	90	250
266	90	249
267	91	249
268	91	248
269	91	248
270	92	248
271	92	247
272	92	247
273	93	246
274	93	246
275	93	246
276	94	245
277	94	245
278	94	244
279	95	244
280	95	244
281	96	244
282	96	244
283	96	243
284	96	243
285	97	242
286	97	242
287	97	242
288	98	241
289	98	241
290	98	241
291	99	240
292	99	240
293	99	239
294	100	239
295	100	239
296	100	238
297	101	238
298	101	238
299	101	237
300	102	237
301	102	236
302	102	236
303	103	236
304	103	235
305	103	235
306	104	235
307	104	234
308	104	234
309	105	234
310	105	233
311	105	233
312	106	233
313	106	232
314	106	232
315	107	232
316	107	231
317	107	231
318	108	231
319	108	230
320	108	230
321	109	230
322	109	229
323	110	229
324	110	229
325	110	228
326	110	228
327	111	228
328	111	227
329	111	227
330	112	226
331	112	226
332	112	226
333	113	226
334	113	226
335	114	225
336	114	225
337	114	225
338	115	224
339	115	224
340	115	223
341	116	223
342	116	223
343	116	222
344	117	222
345	117	221
346	117	221
347	118	221
348	118	220
349	118	220
350	118	219
351	119	219
352	119	219
353	119	218
354	120	218
355	120	218
356	120	217
357	121	217
358	121	217
359	121	216
360	122	216
361	122	216
362	123	215
363	123	215
364	123	215
365	124	214
366	124	214
367	124	214
368	125	213
369	125	213
370	125	213
371	126	213
372	126	212
373	126	212
374	127	212
375	127	211
376	127	211
377	128	211
378	128	210
379	128	210
380	129	210
381	129	209
382	130	209
383	130	209
384	130	208
385	131	208
386	131	208
387	131	207
388	132	207
389	132	207
390	132	206
391	133	206
392	133	206
393	133	205
394	134	205
395	134	205
396	134	204
397	135	204
398	135	204
399	135	203
400	136	203
401	136	203
402	136	202
403	137	202
404	137	202
405	137	201
406	138	201
407	138	201
408	139	200
409	139	200
410	139	200
411	139	199
412	140	199
413	140	199
414	140	198
415	141	198
416	141	197
417	141	197
418	142	197
419	142	196
420	142	196
421	143	196
422	143	195
423	143	195
424	144	194
425	144	194
426	144	194
427	145	193
428	145	193
429	145	193
430	146	192
431	146	192
432	146	192
433	146	191
434	147	191
435	147	190
436	147	190
437	148	190
438	148	189
439	148	189
440	149	189
441	149	188
442	149	188
443	150	188
444	150	187
445	150	187
446	151	187
447	151	186
448	151	186
449	152	186
450	152	185
451	152	185
452	153	185
453	153	184
454	153	184
455	154	183
456	154	183
457	154	183
458	155	182
459	155	182
460	155	182
461	156	181
462	156	181
463	156	181
464	157	180
465	157	180
466	157	180
467	158	179
468	158	179
469	158	179
470	159	178
471	159	178
472	159	178
473	160	177
474	160	177
475	160	177
476	161	176
477	161	176
478	161	176
479	162	175
480	162	175
481	162	175
482	163	174
483	163	174
484	164	174
485	164	173
486	164	173
487	165	173
488	165	173
489	165	172
490	166	172
491	166	172
492	167	171
493	167	171
494	167	171
495	168	170
496	168	170
497	168	170
498	169	169
499	169	169
500	170	169
501	170	169
502	170	168
503	171	168
504	171	168
505	171	167
506	172	167
507	172	167
508	172	166
509	173	166
510	173	166
511	173	165
512	174	165
513	174	164
514	174	164
515	175	164
516	175	163
517	175	163
518	176	163
519	176	162
520	176	162
521	177	162
522	177	161
523	177	161
524	178	161
525	178	160
526	178	160
527	179	160
528	179	159
529	179	159
530	180	159
531	180	158
532	180	158
533	181	157
534	181	157
535	181	157
536	182	157
537	182	156
538	182	156
539	183	155
540	183	155
541	183	155
542	184	154
543	184	154
544	184	154
545	185	153
546	185	153
547	185	153
548	186	152
549	186	152
550	186	152
551	186	151
552	187	151
553	187	151
554	188	150
555	188	150
556	188	150
557	189	149
558	189	149
559	189	149
560	190	148
561	190	148
562	190	148
563	191	147
564	191	147
565	191	146
566	192	146
567	192	146
568	192	146
569	193	145
570	193	145
571	193	145
572	194	144
573	194	144
574	194	144
575	195	143
576	195	143
577	195	142
578	196	142
579	196	142
580	196	141
581	197	141
582	197	141
583	197	140
584	198	140
585	198	140
586	198	139
587	199	139
588	199	139
589	199	138
590	200	138
591	200	138
592	200	137
593	201	137
594	201	137
595	201	136
596	201	136
597	202	136
598	202	135
599	202	135
600	203	134
601	203	134
602	203	134
603	204	133
604	204	133
605	204	133
606	205	132
607	205	132
608	206	132
609	206	132
610	206	131
611	207	131
612	207	130
613	207	130
614	208	130
615	208	129
616	208	129
617	209	129
618	209	128
619	209	128
620	210	128
621	210	127
622	210	127
623	211	127
624	211	126
625	211	126
626	212	126
627	212	125
628	212	125
629	213	125
630	213	124
631	213	124
632	214	124
633	214	123
634	214	123
635	215	123
636	215	122
637	215	122
638	216	122
639	216	121
640	216	121
641	216	120
642	217	120
643	217	120
644	217	119
645	218	119
646	218	119
647	219	118
648	219	118
649	219	118
650	220	118
651	220	117
652	220	117
653	221	117
654	221	116
655	221	116
656	222	115
657	222	115
658	222	115
659	223	114
660	223	114
661	223	114
662	224	113
663	224	113
664	224	113
665	225	112
666	225	112
667	225	112
668	226	111
669	226	111
670	226	111
671	227	110
672	227	110
673	227	110
674	227	109
675	228	109
676	228	109
677	228	108
678	229	108
679	229	108
680	229	107
681	230	107
682	230	106
683	230	106
684	231	106
685	231	106
686	231	105
687	232	105
688	232	104
689	232	104
690	233	104
691	233	103
692	233	103
693	234	103
694	234	102
695	234	102
696	235	102
697	235	101
698	235	101
699	236	101
700	236	100
701	236	100
702	237	100
703	237	99
704	238	99
705	238	99
706	238	98
707	239	98
708	239	98
709	239	97
710	240	97
711	240	97
712	240	96
713	241	96
714	241	96
715	241	95
716	241	95
717	242	95
718	242	94
719	242	94
720	243	94
721	243	93
722	244	93
723	244	93
724	244	92
725	245	92
726	245	92
727	245	91
728	246	91
729	246	91
730	246	90
731	247	90
732	247	90
733	247	89
734	248	89
735	248	89
736	248	88
737	249	88
738	249	88
739	249	87
740	250	87
741	250	87
742	250	86
743	251	86
744	251	86
745	251	85
746	252	85
747	252	85
748	252	84
749	253	84
750	253	84
751	253	83
752	254	83
753	254	83
754	254	82
755	255	82
756	255	82
757	256	81
758	256	81
759	256	81
760	257	80
761	257	80
762	257	80
763	258	79
764	258	79
765	258	79
766	259	78
767	259	78
768	259	77
769	259	77
770	260	77
771	260	76
772	260	76
773	261	76
774	261	75
775	261	75
776	262	75
777	262	74
778	263	74
779	263	74
780	263	73
781	263	73
782	264	73
783	264	72
784	264	72
785	265	72
786	265	71
787	265	71
788	266	71
789	266	70
790	266	70
791	267	70
792	267	69
793	268	69
794	268	69
795	268	68
796	269	68
797	269	68
798	269	67
799	270	67
800	270	67
801	270	66
802	271	66
803	271	66
804	271	65
805	272	65
806	272	65
807	272	64
808	273	64
809	273	64
810	273	63
811	274	63
812	274	63
813	275	62
814	275	62
815	275	62
816	276	61
817	276	61
818	276	61
819	277	60
820	277	60
821	277	60
822	278	59
823	278	59
824	278	59
825	279	58
826	279	58
827	279	58
828	280	57
829	280	57
830	280	57
831	281	56
832	281	56
833	281	56
834	282	55
835	282	55
836	282	55
837	283	54
838	283	54
839	283	54
840	284	53
841	284	53
842	284	53
843	285	52
844	285	52
845	285	52
846	286	51
847	286	51
848	286	51
849	287	50
850	287	50
851	287	50
852	288	49
853	288	49
854	289	49
855	289	48
856	289	48
857	290	48
858	290	47
859	290	47
860	291	46
861	291	46
862	291	46
863	291	45
864	292	45
865	292	45
866	292	44
867	293	44
868	293	44
869	293	43
870	294	43
871	294	43
872	294	42
873	295	42
874	295	42
875	296	41
876	296	41
877	296	41
878	297	40
879	297	40
880	297	40
881	298	39
882	298	39
883	298	39
884	299	38
885	299	38
886	299	38
887	300	37
888	300	37
889	300	37
890	301	36
891	301	36
892	301	36
893	302	35
894	302	35
895	302	35
896	303	34
897	303	34
898	303	34
899	304	33
900	304	33
901	305	33
902	305	32
903	305	32
904	306	32
905	306	31
906	306	31
907	307	31
908	307	30
909	307	30
910	308	30
911	308	29
912	309	29
913	309	29
914	309	28
915	310	28
916	310	28
917	310	27
918	311	27
919	311	27
920	312	26
921	312	26
922	312	26
923	313	25
924	313	25
925	313	25
926	314	24
927	314	24
928	314	24
929	315	23
930	315	23
931	316	23
932	316	22
933	317	22
934	317	22
935	318	21
936	318	21
937	318	21
938	319	20
939	319	20
940	319	20
941	320	19
942	320	19
943	321	19
944	321	18
945	321	18
946	322	18
947	322	17
948	322	17
949	323	17
950	323	16
951	324	16
952	324	16
953	325	15
954	325	15
955	325	14
956	326	14
957	326	14
958	326	13
959	327	13
960	327	13
961	328	12
962	328	12
963	328	12
964	328	11
965	329	11
966	329	11
967	329	10
968	330	10
969	330	10
970	331	9
971	331	9
972	331	9
973	332	8
974	332	8
975	332	8
976	333	7
977	333	7
978	333	7
979	334	6
980	334	6
981	334	6
982	335	5
983	335	5
984	335	5
985	336	4
986	336	4
987	336	4
988	337	3
989	337	3
990	337	3
991	338	2
992	338	2
993	338	2
994	339	1
995	339	1
996	339	1
997	340	0
998	340	0
999	340	0
